entity,hypernym,neg_hypernym,depth,level,pageviews,go_id,parent_id,namespace
negative regulation of peptide secretion,negative regulation of secretion,S-adenosylmethionine-dependent methyltransferase activity,7,4,6.17e-05,GO:0002792,GO:0051048,biological_process
raffinose catabolic process,oligosaccharide catabolic process,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",7,4,2.34e-08,GO:0034484,GO:0009313,biological_process
Edg-3 sphingosine 1-phosphate receptor binding,endothelial differentiation G protein-coupled receptor binding,bradykinin receptor binding,7,4,1.26e-07,GO:0031756,GO:0031753,molecular_function
NK T cell lineage commitment,alpha-beta T cell lineage commitment,regulation of intracellular signal transduction,7,4,2.88e-06,GO:0002364,GO:0002363,biological_process
peptidyl-arginine methylation,peptidyl-arginine modification,L-amino-acid N-acetyltransferase activity,7,4,2.79e-08,GO:0018216,GO:0018195,biological_process
isoliquiritigenin 2'-O-methyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity,"negative regulation of CD4-positive, alpha-beta T cell differentiation",7,4,0.0,GO:0033802,GO:0008757,molecular_function
regulation of gamma-aminobutyric acid secretion,regulation of secretion,regulation of toll-like receptor 7 signaling pathway,7,4,2.4e-05,GO:0014052,GO:0051046,biological_process
positive regulation of response to cell cycle checkpoint signaling,positive regulation of cellular process,leukocyte differentiation,6,4,9.77e-05,GO:1902146,GO:0048522,biological_process
positive regulation of phospholipase activity,regulation of phospholipase activity,translocation of peptides or proteins into host,7,4,9.77e-05,GO:0010518,GO:0010517,biological_process
3' overhang single-stranded DNA endonuclease activity,single-stranded DNA endonuclease activity,polyol metabolic process,6,4,0.000813,GO:1990599,GO:0000014,molecular_function
negative regulation of interleukin-13 production,regulation of interleukin-13 production,pyridine-containing compound catabolic process,7,4,6.17e-05,GO:0032696,GO:0032656,biological_process
nicotinate biosynthetic process,monocarboxylic acid biosynthetic process,regulation of cartilage condensation,6,4,1.02e-08,GO:1901849,GO:0072330,biological_process
cellular response to interferon-alpha,response to interferon-alpha,phenol-containing compound catabolic process,7,4,7.76e-06,GO:0035457,GO:0035455,biological_process
isoursodeoxycholate 7-beta-dehydrogenase (NAD+) activity,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",nicotinamide nucleotide biosynthetic process,6,4,0.0,GO:0106282,GO:0033764,molecular_function
accessory nerve maturation,cranial nerve maturation,positive regulation of multicellular organismal process,7,4,4.27e-06,GO:0021606,GO:0021605,biological_process
negative regulation of platelet activation,regulation of platelet activation,negative regulation of viral life cycle,7,4,6.17e-05,GO:0010544,GO:0010543,biological_process
formaldehyde assimilation via ribulose monophosphate cycle,formaldehyde assimilation,negative regulation of developmental process,7,4,9.33e-07,GO:0019647,GO:0019649,biological_process
tripeptide aminopeptidase activity,tripeptidase activity,channel activity,7,4,1.86e-08,GO:0045148,GO:0034701,molecular_function
"regulation of photosynthesis, dark reaction",regulation of photosynthesis,secondary alcohol metabolic process,7,4,2.4e-05,GO:0010110,GO:0010109,biological_process
negative regulation of mesoderm development,negative regulation of developmental process,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",6,4,6.17e-05,GO:2000381,GO:0051093,biological_process
negative regulation of tolerance induction to self antigen,regulation of tolerance induction to self antigen,regulation of supramolecular fiber organization,7,4,6.17e-05,GO:0002650,GO:0002649,biological_process
invasive growth in response to pheromone,invasive filamentous growth,regulation of amine metabolic process,7,4,4.9e-06,GO:0045311,GO:0036267,biological_process
negative regulation of male germ cell proliferation,negative regulation of reproductive process,histone H3 acetyltransferase activity,6,4,6.17e-05,GO:2000255,GO:2000242,biological_process
response to zinc ion starvation,response to metal ion starvation,negative regulation of secretion,6,4,0.000107,GO:0120127,GO:0180055,biological_process
"L-histidine, sodium:proton antiporter activity",amino acid:monoatomic cation antiporter activity,regulation of toll-like receptor 12 signaling pathway,6,4,1.78e-07,GO:0140832,GO:0140848,molecular_function
B1 bradykinin receptor binding,bradykinin receptor binding,NAD+ biosynthetic process,7,4,1.58e-06,GO:0031712,GO:0031711,molecular_function
ubiquinone biosynthetic process,quinone biosynthetic process,regulation of photosynthesis,7,4,5.01e-08,GO:0006744,GO:1901663,biological_process
regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,regulation of immune response,regulation of platelet activation,6,4,2.4e-05,GO:2001188,GO:0050776,biological_process
negative regulation of MyD88-independent toll-like receptor signaling pathway,regulation of MyD88-independent toll-like receptor signaling pathway,"acyltransferase activity, transferring groups other than amino-acyl groups",7,4,6.17e-05,GO:0034128,GO:0034127,biological_process
response to absence of light,response to light intensity,methanopterin-containing compound biosynthetic process,7,4,0.000107,GO:0009646,GO:0009642,biological_process
histone H3K23 acetyltransferase activity,histone H3 acetyltransferase activity,butyrate metabolic process,7,4,5.13e-07,GO:0043994,GO:0010484,molecular_function
positive regulation of D-glucose transmembrane transport,positive regulation of transmembrane transport,regulation of iron ion transmembrane transport,7,4,9.77e-05,GO:0010828,GO:0034764,biological_process
growth cone lamellipodium,lamellipodium,negative regulation of reproductive process,6,4,0.000107,GO:1990761,GO:0030027,cellular_component
"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",UDP-galactosyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity,7,4,0.0,GO:0003831,GO:0035250,molecular_function
curcumin synthase activity,"acyltransferase activity, transferring groups other than amino-acyl groups",secondary metabolite catabolic process,6,4,1.55e-07,GO:0102106,GO:0016747,molecular_function
negative regulation of viral translation,regulation of viral translation,polyketide biosynthetic process,6,4,6.17e-05,GO:1904972,GO:1904971,biological_process
negative regulation of filamentous growth of a population of unicellular organisms in response to chemical stimulus,negative regulation of response to stimulus,glycolipid metabolic process,6,4,6.17e-05,GO:1900438,GO:0048585,biological_process
NAD-dependent protein lipoamidase activity,"acyltransferase activity, transferring groups other than amino-acyl groups",regulation of phospholipase activity,6,4,7.8e-07,GO:0106419,GO:0016747,molecular_function
glycine metabolic process,alpha-amino acid metabolic process,regulation of lens fiber cell differentiation,7,4,4.07e-07,GO:0006544,GO:1901605,biological_process
L-isoleucine import across plasma membrane,amino acid import across plasma membrane,response to borneol,6,4,8.51e-08,GO:1903806,GO:0089718,biological_process
postsynapse assembly,postsynapse organization,response to light intensity,6,4,0.0,GO:0099068,GO:0099173,biological_process
neutrophil apoptotic process,myeloid cell apoptotic process,"carbon-oxygen lyase activity, acting on phosphates",7,4,1.86e-07,GO:0001781,GO:0033028,biological_process
regulation of chemokine activity,regulation of cytokine activity,regulation of toll-like receptor 7 signaling pathway,6,4,2.4e-05,GO:1900136,GO:0060300,biological_process
regulation of extracellular matrix organization,regulation of cellular component organization,regulation of amine metabolic process,6,4,2.4e-05,GO:1903053,GO:0051128,biological_process
positive regulation of biosynthetic process,positive regulation of metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",7,4,9.77e-05,GO:0009891,GO:0009893,biological_process
violaceol II catabolic process,secondary metabolite catabolic process,regulation of immune response,6,4,0.0,GO:1900592,GO:0090487,biological_process
phenylpropanoyltransferase activity,"acyltransferase activity, transferring groups other than amino-acyl groups",regulation of phospholipase activity,6,4,0.0,GO:0102922,GO:0016747,molecular_function
response to purvalanol A,response to purine-containing compound,otolith mineralization,6,4,0.000107,GO:1901560,GO:0014074,biological_process
protein C-terminal leucine carboxyl O-methyltransferase activity,protein C-terminal carboxyl O-methyltransferase activity,vitamin D metabolic process,7,4,3.39e-05,GO:0018423,GO:0003880,molecular_function
F-9775B catabolic process,phenol-containing compound catabolic process,organophosphate biosynthetic process,6,4,4.5e-12,GO:1900613,GO:0019336,biological_process
monocyte differentiation,myeloid leukocyte differentiation,positive regulation of metabolic process,7,4,1.17e-07,GO:0030224,GO:0002573,biological_process
regulation of iron ion import across plasma membrane,regulation of iron ion transmembrane transport,tricarboxylic acid transmembrane transport,6,4,2.4e-05,GO:1904438,GO:0034759,biological_process
G protein-coupled receptor homodimeric complex,G protein-coupled receptor dimeric complex,RNA modification,7,4,0.0001,GO:0038038,GO:0038037,cellular_component
cellular response to borneol,response to borneol,negative regulation of developmental process,6,4,7.76e-06,GO:1905231,GO:1905230,biological_process
positive regulation of lens fiber cell differentiation,regulation of lens fiber cell differentiation,S-adenosylmethionine-dependent methyltransferase activity,6,4,9.77e-05,GO:1902748,GO:1902746,biological_process
nicotinate catabolic process,pyridine-containing compound catabolic process,regulation of male mating behavior,6,4,1.02e-08,GO:1901848,GO:0072526,biological_process
F-9775B catabolic process,polyketide catabolic process,CoA-ligase activity,6,4,4.5e-12,GO:1900613,GO:0030640,biological_process
positive regulation of response to gamma radiation,regulation of response to gamma radiation,regulation of endothelial cell migration,6,4,9.77e-05,GO:2001230,GO:2001228,biological_process
cellular response to glucose-phosphate stress,cellular response to sugar-phosphate stress,endothelial differentiation G protein-coupled receptor binding,7,4,7.76e-06,GO:0036448,GO:0036447,biological_process
positive regulation of cell budding,positive regulation of asexual reproduction,core promoter sequence-specific DNA binding,7,4,9.77e-05,GO:0045782,GO:1903666,biological_process
diol metabolic process,polyol metabolic process,plastid membrane organization,7,4,1.12e-07,GO:0034311,GO:0019751,biological_process
negative regulation of antimicrobial humoral response,negative regulation of response to biotic stimulus,regulation of anatomical structure morphogenesis,7,4,6.17e-05,GO:0008348,GO:0002832,biological_process
vitamin D biosynthetic process,vitamin D metabolic process,aromatic amino acid transport,7,4,1.02e-05,GO:0042368,GO:0042359,biological_process
negative regulation of intracellular transport of viral material,negative regulation of viral life cycle,CoA-ligase activity,6,4,6.17e-05,GO:1901253,GO:1903901,biological_process
negative regulation of toll-like receptor 12 signaling pathway,regulation of toll-like receptor 12 signaling pathway,S-adenosylmethionine-dependent methyltransferase activity,7,4,6.17e-05,GO:0034176,GO:0034175,biological_process
benzoyl-CoA catabolic process,benzoyl-CoA metabolic process,nucleic acid catabolic process,6,4,1.88e-07,GO:1901788,GO:1901787,biological_process
positive regulation of determination of dorsal identity,positive regulation of multicellular organismal process,hexosyltransferase activity,6,4,9.77e-05,GO:2000017,GO:0051240,biological_process
fatty acid omega-1 hydroxylase activity,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",RNA modification,6,4,6.31e-06,GO:0120502,GO:0016712,molecular_function
purine ribonucleoside catabolic process,ribonucleoside catabolic process,endothelial differentiation G protein-coupled receptor binding,7,4,1.51e-07,GO:0046130,GO:0042454,biological_process
negative regulation of cytokine production involved in immune response,regulation of cytokine production involved in immune response,regulation of response to biotic stimulus,7,4,6.17e-05,GO:0002719,GO:0002718,biological_process
positive regulation of fear response,positive regulation of response to stimulus,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",6,4,9.77e-05,GO:1903367,GO:0048584,biological_process
negative regulation of sevenless signaling pathway,negative regulation of signal transduction,amino acid:monoatomic cation antiporter activity,7,4,6.17e-05,GO:0045873,GO:0009968,biological_process
acetyl-CoA fermentation to butanoate,butyrate metabolic process,tripeptidase activity,7,4,3.78e-07,GO:0030645,GO:0019605,biological_process
positive regulation of melanosome transport,positive regulation of transport,regulation of heart induction,6,4,9.77e-05,GO:1902910,GO:0051050,biological_process
negative regulation of hormone biosynthetic process,negative regulation of biosynthetic process,negative regulation of reproductive process,7,4,6.17e-05,GO:0032353,GO:0009890,biological_process
cyanidin 3-O-glucoside 5-O-glucosyltransferase (acyl-glucose) activity,hexosyltransferase activity,regulation of response to gamma radiation,6,4,2.19e-08,GO:0102506,GO:0016758,molecular_function
stress granule disassembly,organelle disassembly,negative regulation of biosynthetic process,7,4,5.37e-05,GO:0035617,GO:1903008,biological_process
glycerophospholipid catabolic process,glycerolipid catabolic process,regulation of lens fiber cell differentiation,7,4,0.0,GO:0046475,GO:0046503,biological_process
6-carboxyhexanoate-CoA ligase activity,CoA-ligase activity,negative regulation of secretion,7,4,0.0,GO:0042410,GO:0016405,molecular_function
N-cyclopropylmelamine catabolic process,s-triazine compound catabolic process,organelle organization,7,4,0.0,GO:0042202,GO:0042204,biological_process
negative regulation of endothelial tube morphogenesis,negative regulation of multicellular organismal process,response to metal ion starvation,6,4,6.17e-05,GO:1905955,GO:0051241,biological_process
RNA polymerase I core promoter sequence-specific DNA binding,core promoter sequence-specific DNA binding,regulation of phosphate transport,7,4,4.79e-06,GO:0001164,GO:0001046,molecular_function
cell leading edge cell cortex,cell cortex region,regulation of cellular response to very-low-density lipoprotein particle stimulus,6,4,7.41e-05,GO:1904269,GO:0099738,cellular_component
lifelong otolith mineralization,otolith mineralization,RNA modification,7,4,5.62e-06,GO:0031174,GO:0045299,biological_process
protein dealkylation,protein modification process,RNA polymerase II-specific DNA-binding transcription factor binding,7,4,3.39e-05,GO:0008214,GO:0036211,biological_process
cis-stilbene-oxide hydrolase activity,epoxide hydrolase activity,G protein-coupled amine receptor activity,7,4,2.37e-08,GO:0033961,GO:0004301,molecular_function
regulation of protein localization to lysosome,regulation of protein localization,negative regulation of amino acid transport,6,4,2.4e-05,GO:0150031,GO:0032880,biological_process
organelle disassembly,organelle organization,regulation of supramolecular fiber organization,6,4,1.35e-07,GO:1903008,GO:0006996,biological_process
negative regulation of gonad development,regulation of gonad development,negative regulation of biosynthetic process,6,4,6.17e-05,GO:1905940,GO:1905939,biological_process
nucleoside bisphosphate biosynthetic process,nucleoside phosphate biosynthetic process,benzoyl-CoA metabolic process,7,4,1.74e-07,GO:0033866,GO:1901293,biological_process
negative regulation of maltose transport,negative regulation of transport,tricarboxylic acid transmembrane transport,6,4,6.17e-05,GO:1902344,GO:0051051,biological_process
mononuclear cell differentiation,leukocyte differentiation,translocation of peptides or proteins into host,6,4,1.38e-07,GO:1903131,GO:0002521,biological_process
negative regulation of trophoblast cell migration,negative regulation of reproductive process,regulation of protein localization to nucleus,6,4,6.17e-05,GO:1901164,GO:2000242,biological_process
pyoverdine biosynthetic process,siderophore biosynthetic process,response to metal ion starvation,7,4,0.0,GO:0002049,GO:0019290,biological_process
rRNA (adenine-N6-)-methyltransferase activity,N-methyltransferase activity,response to purine-containing compound,7,4,3.16e-07,GO:0008988,GO:0008170,molecular_function
3-phosphoinositide-dependent protein kinase binding,protein kinase binding,positive regulation of transmembrane transport,7,4,4.56e-08,GO:0043423,GO:0019901,molecular_function
positive regulation of interleukin-11 production,positive regulation of cytokine production,lipid translocation,7,4,9.77e-05,GO:0032734,GO:0001819,biological_process
tRNA-queuosine(34) galactosyltransferase activity,"catalytic activity, acting on a tRNA",negative regulation of signal transduction,6,4,0.0,GO:0141125,GO:0140101,molecular_function
negative regulation of toll-like receptor 7 signaling pathway,regulation of toll-like receptor 7 signaling pathway,regulation of phospholipase activity,7,4,6.17e-05,GO:0034156,GO:0034155,biological_process
butyryl-CoA biosynthetic process from acetyl-CoA,butyryl-CoA biosynthetic process,channel activity,7,4,0.0,GO:0044579,GO:0044578,biological_process
regulation of optic nerve formation,regulation of anatomical structure morphogenesis,organophosphate biosynthetic process,6,4,2.4e-05,GO:2000595,GO:0022603,biological_process
omega-hydroxyceramide transacylase activity,"acyltransferase activity, transferring groups other than amino-acyl groups",diol biosynthetic process,6,4,0.0,GO:0106341,GO:0016747,molecular_function
(-)-secoisolariciresinol biosynthetic process,diol biosynthetic process,canonical Wnt signaling pathway,6,4,0.0,GO:1902138,GO:0034312,biological_process
negative regulation of cellular response to very-low-density lipoprotein particle stimulus,regulation of cellular response to very-low-density lipoprotein particle stimulus,regulation of male mating behavior,6,4,6.17e-05,GO:1905888,GO:1905890,biological_process
cellular response to nitroglycerin,cellular response to oxygen-containing compound,proteoglycan metabolic process,6,4,7.76e-06,GO:1904843,GO:1901701,biological_process
neurotransmitter receptor diffusion trapping,receptor diffusion trapping,cell cortex region,6,4,6.76e-07,GO:0099628,GO:0098953,biological_process
negative regulation of maltotriulose transport,negative regulation of transport,positive regulation of response to stimulus,6,4,6.17e-05,GO:1900325,GO:0051051,biological_process
cellular response to puromycin,response to puromycin,polyol metabolic process,6,4,7.76e-06,GO:1905795,GO:1905794,biological_process
GTP metabolic process,purine ribonucleoside triphosphate metabolic process,S-adenosylmethionine-dependent methyltransferase activity,7,4,2.75e-07,GO:0046039,GO:0009205,biological_process
steviol 13-O glucosyltransferase activity,hexosyltransferase activity,quinone biosynthetic process,6,4,0.0,GO:0102377,GO:0016758,molecular_function
positive regulation of heart induction,regulation of heart induction,"acyltransferase activity, transferring groups other than amino-acyl groups",6,4,9.77e-05,GO:1901321,GO:0090381,biological_process
positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway,positive regulation of mast cell activation,regulation of viral translation,7,4,9.77e-05,GO:0038097,GO:0033005,biological_process
regulation of post-lysosomal vacuole size,regulation of vesicle size,N-methyltransferase activity,7,4,2.4e-05,GO:0044656,GO:0097494,biological_process
embryonic forelimb morphogenesis,forelimb morphogenesis,regulation of cell fate specification,7,4,1.7e-06,GO:0035115,GO:0035136,biological_process
regulation of amine catabolic process,regulation of amine metabolic process,regulation of cellular component organization,7,4,2.4e-05,GO:0033241,GO:0033238,biological_process
positive regulation of cell-substrate adhesion,positive regulation of cell adhesion,regulation of apical ectodermal ridge formation,7,4,9.77e-05,GO:0010811,GO:0045785,biological_process
positive regulation of protein-containing complex assembly,regulation of protein-containing complex assembly,core promoter sequence-specific DNA binding,7,4,9.77e-05,GO:0031334,GO:0043254,biological_process
negative regulation of T-helper cell differentiation,"negative regulation of CD4-positive, alpha-beta T cell differentiation",regulation of cytokine production involved in immune response,7,4,6.17e-05,GO:0045623,GO:0043371,biological_process
regulation of nitric oxide mediated signal transduction,regulation of intracellular signal transduction,regulation of cellular component organization,7,4,2.4e-05,GO:0010749,GO:1902531,biological_process
positive regulation of apical ectodermal ridge formation,regulation of apical ectodermal ridge formation,negative regulation of blood coagulation,6,4,9.77e-05,GO:1905142,GO:1905140,biological_process
glucuronoxylan 4-O-methyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity,response to purine-containing compound,7,4,0.0,GO:0030775,GO:0008757,molecular_function
actin rod assembly,actin filament bundle assembly,positive regulation of multicellular organismal process,7,4,1.38e-06,GO:0031247,GO:0051017,biological_process
regulation of interleukin-1 beta production,regulation of interleukin-1 production,regulation of cellular component organization,7,4,2.4e-05,GO:0032651,GO:0032652,biological_process
cellular response to nonane,cellular response to alkane,hexosyltransferase activity,6,4,7.76e-06,GO:1902781,GO:1902779,biological_process
1-aminocyclopropane-1-carboxylate catabolic process,alpha-amino acid catabolic process,regulation of secretion,7,4,0.0,GO:0042217,GO:1901606,biological_process
D-glycero-D-manno-heptose 7-phosphate biosynthetic process,organophosphate biosynthetic process,cellular response to sugar-phosphate stress,6,4,0.0,GO:2001061,GO:0090407,biological_process
positive regulation of initiation of premeiotic DNA replication,positive regulation of DNA-templated DNA replication initiation,positive regulation of multicellular organismal process,6,4,9.77e-05,GO:1904514,GO:0032298,biological_process
regulation of mesodermal cell fate specification,regulation of cell fate specification,cranial nerve maturation,7,4,2.4e-05,GO:0042661,GO:0042659,biological_process
NAD+ biosynthetic process,nicotinamide nucleotide biosynthetic process,purine ribonucleoside triphosphate metabolic process,7,4,8.13e-07,GO:0009435,GO:0019359,biological_process
cell wall glycoprotein biosynthetic process,glycoprotein biosynthetic process,RNA polymerase II-specific DNA-binding transcription factor binding,7,4,7.41e-05,GO:0031506,GO:0009101,biological_process
regulation of myosin II filament organization,regulation of supramolecular fiber organization,ribonucleoside catabolic process,7,4,2.4e-05,GO:0043519,GO:1902903,biological_process
protein-DNA complex disassembly,protein-DNA complex organization,formaldehyde assimilation,7,4,1.62e-05,GO:0032986,GO:0071824,biological_process
alpha-copaene synthase activity,"carbon-oxygen lyase activity, acting on phosphates",core promoter sequence-specific DNA binding,6,4,0.0,GO:0102877,GO:0016838,molecular_function
bacteriochlorophyll catabolic process,chlorophyll catabolic process,interferon receptor activity,7,4,0.0,GO:0030495,GO:0015996,biological_process
translocation of peptides or proteins into host cell cytoplasm,translocation of peptides or proteins into host,polyketide biosynthetic process,7,4,5.25e-07,GO:0044053,GO:0042000,biological_process
negative regulation of exocyst assembly,negative regulation of protein-containing complex assembly,positive regulation of asexual reproduction,7,4,6.17e-05,GO:0001929,GO:0031333,biological_process
regulation of tight junction disassembly,regulation of cellular component organization,regulation of cytokine production involved in immune response,6,4,2.4e-05,GO:1905073,GO:0051128,biological_process
negative regulation of gamma-aminobutyric acid secretion,negative regulation of amino acid transport,amino acid import across plasma membrane,7,4,6.17e-05,GO:0014053,GO:0051956,biological_process
snRNA modification,RNA modification,regulation of response to gamma radiation,7,4,1.45e-08,GO:0040031,GO:0009451,biological_process
"L-glutamate N-acetyltransferase activity, acting on acetyl-L-ornithine as donor",L-amino-acid N-acetyltransferase activity,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",7,4,7.55e-07,GO:0004358,GO:0140085,molecular_function
Rho GDP-dissociation inhibitor activity,GDP-dissociation inhibitor activity,protein modification process,7,4,6.46e-07,GO:0005094,GO:0005092,molecular_function
negative regulation of cellular response to very-low-density lipoprotein particle stimulus,negative regulation of cellular process,translocation of peptides or proteins into host,6,4,6.17e-05,GO:1905888,GO:0048523,biological_process
regulation of natural killer cell degranulation,regulation of natural killer cell mediated cytotoxicity,negative regulation of morphogenesis of an epithelium,7,4,2.4e-05,GO:0043321,GO:0042269,biological_process
negative regulation of tube lumen cavitation,negative regulation of developmental process,methanopterin-containing compound biosynthetic process,6,4,6.17e-05,GO:1903133,GO:0051093,biological_process
plastid inner membrane organization,plastid membrane organization,protein-DNA complex organization,7,4,7.41e-08,GO:0009667,GO:0009668,biological_process
neural crest cell migration,mesenchymal cell migration,positive regulation of multicellular organismal process,7,4,5.75e-06,GO:0001755,GO:0090497,biological_process
regulation of phosphate transmembrane transport,regulation of phosphate transport,epithelial cilium movement involved in extracellular fluid movement,6,4,2.4e-05,GO:2000185,GO:0010966,biological_process
fibrinolysis,negative regulation of blood coagulation,T cell activation involved in immune response,7,4,3.16e-08,GO:0042730,GO:0030195,biological_process
positive regulation of cartilage condensation,regulation of cartilage condensation,negative regulation of transport,6,4,9.77e-05,GO:1902027,GO:1902026,biological_process
negative regulation of male mating behavior,regulation of male mating behavior,organelle organization,6,4,6.17e-05,GO:1902436,GO:1902435,biological_process
cspyrone B1 biosynthetic process,secondary metabolite biosynthetic process,formaldehyde assimilation,6,4,0.0,GO:1900802,GO:0044550,biological_process
sphingolipid translocation,lipid translocation,secondary metabolite catabolic process,6,4,1.95e-08,GO:0099039,GO:0034204,biological_process
pyridine N-methyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity,positive regulation of response to stimulus,7,4,1.62e-07,GO:0030760,GO:0008757,molecular_function
tRNA (5-methylaminomethyl-2-thiouridylate)(34)-methyltransferase activity,S-adenosylmethionine-dependent methyltransferase activity,negative regulation of developmental process,7,4,3.39e-07,GO:0004808,GO:0008757,molecular_function
post-embryonic anal fin morphogenesis,anal fin morphogenesis,epithelial cilium movement involved in extracellular fluid movement,7,4,1.69e-06,GO:0035135,GO:0035144,biological_process
ceramide 1-phosphate transport,phospholipid transport,RNA polymerase II-specific DNA-binding transcription factor binding,6,4,1.15e-07,GO:1902389,GO:0015914,biological_process
regulation of autophagy,regulation of catabolic process,negative regulation of reproductive process,7,4,2.4e-05,GO:0010506,GO:0009894,biological_process
DNA catabolic process,nucleic acid catabolic process,xenobiotic transport,7,4,3.09e-05,GO:0006308,GO:0141188,biological_process
L-phenylalanine import across plasma membrane,aromatic amino acid transport,regulation of supramolecular fiber organization,6,4,1.95e-07,GO:0140925,GO:0015801,biological_process
positive regulation of vitellogenesis,positive regulation of multicellular organismal process,protein kinase binding,6,4,9.77e-05,GO:1903188,GO:0051240,biological_process
glycosphingolipid metabolic process,glycolipid metabolic process,negative regulation of biosynthetic process,7,4,0.0,GO:0006687,GO:0006664,biological_process
positive regulation of photomorphogenesis,positive regulation of response to stimulus,S-adenosylmethionine-dependent methyltransferase activity,6,4,9.77e-05,GO:2000306,GO:0048584,biological_process
G protein-coupled serotonin receptor activity,G protein-coupled amine receptor activity,regulation of apical ectodermal ridge formation,7,4,0.0001,GO:0004993,GO:0008227,molecular_function
peptidyl-cysteine methylation,peptidyl-cysteine modification,protein C-terminal carboxyl O-methyltransferase activity,7,4,2.77e-08,GO:0018125,GO:0018198,biological_process
nuclear receptor binding,RNA polymerase II-specific DNA-binding transcription factor binding,regulation of platelet activation,7,4,5.37e-05,GO:0016922,GO:0061629,molecular_function
mitochondrial tricarboxylic acid transmembrane transport,tricarboxylic acid transmembrane transport,pyridine-containing compound catabolic process,6,4,1.86e-06,GO:1990546,GO:0035674,biological_process
canonical Wnt signaling pathway involved in negative regulation of apoptotic process,canonical Wnt signaling pathway,polyketide biosynthetic process,7,4,2.09e-06,GO:0044336,GO:0060070,biological_process
cholesterol metabolic process,secondary alcohol metabolic process,regulation of anatomical structure morphogenesis,7,4,5.25e-06,GO:0008203,GO:1902652,biological_process
'de novo' NAD+ biosynthetic process from L-aspartate,NAD+ biosynthetic process,single-stranded DNA endonuclease activity,7,4,0.00017,GO:0034628,GO:0009435,biological_process
positive regulation of collagen metabolic process,positive regulation of metabolic process,regulation of cellular component organization,7,4,9.77e-05,GO:0010714,GO:0009893,biological_process
enzyme IIA-maltose transporter complex,ATP-binding cassette (ABC) transporter complex,ribonucleoside catabolic process,6,4,6.61e-06,GO:1990154,GO:0043190,cellular_component
borate channel activity,channel activity,NAD+ biosynthetic process,6,4,1.15e-07,GO:0180044,GO:0015267,molecular_function
regulation of polysaccharide metabolic process,regulation of macromolecule metabolic process,methanopterin-containing compound biosynthetic process,7,4,2.4e-05,GO:0032881,GO:0060255,biological_process
negative regulation of establishment of Sertoli cell barrier,negative regulation of reproductive process,positive regulation of mast cell activation,6,4,6.17e-05,GO:1904445,GO:2000242,biological_process
(R)-2-hydroxyglutarate (NAD+) dehydrogenase activity,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",plastid membrane organization,6,4,0.0,GO:0120568,GO:0016616,molecular_function
positive regulation of lung goblet cell differentiation,positive regulation of epithelial cell differentiation,negative regulation of reproductive process,6,4,9.77e-05,GO:1901251,GO:0030858,biological_process
sarcinapterin biosynthetic process,methanopterin-containing compound biosynthetic process,positive regulation of DNA-templated DNA replication initiation,6,4,0.0,GO:1900868,GO:2001116,biological_process
plastid fission,organelle fission,nucleic acid catabolic process,7,4,7.41e-08,GO:0043572,GO:0048285,biological_process
regulation of endothelial cell chemotaxis,regulation of endothelial cell migration,regulation of male mating behavior,6,4,2.4e-05,GO:2001026,GO:0010594,biological_process
regulation of filamentous growth of a population of unicellular organisms in response to biotic stimulus,regulation of response to biotic stimulus,hexosyltransferase activity,6,4,2.4e-05,GO:1900443,GO:0002831,biological_process
protein sulfhydration,protein modification process,anal fin morphogenesis,7,4,3.39e-05,GO:0044524,GO:0036211,biological_process
xenobiotic transport across blood-brain barrier,xenobiotic transport,negative regulation of multicellular organismal process,6,4,4.68e-08,GO:1990962,GO:0042908,biological_process
2-deoxyribose 1-phosphate catabolic process,deoxyribose phosphate catabolic process,regulation of phospholipase activity,7,4,3.31e-08,GO:0006018,GO:0046386,biological_process
peptidoglycan biosynthetic process,peptidoglycan metabolic process,positive regulation of cytokine production,7,4,5.75e-08,GO:0009252,GO:0000270,biological_process
"positive regulation of synaptic transmission, cholinergic",positive regulation of synaptic transmission,regulation of toll-like receptor 12 signaling pathway,7,4,9.77e-05,GO:0032224,GO:0050806,biological_process
